run_time,latest_data_datetime,new_records,total_records,status,error_msg,total_api_stations,stations_with_data,stations_appended,inactive_stations,data_coverage_pct
2025-07-06 11:38:01,2025-07-06 11:26:19,0,120818,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 14:25:06,2025-07-06 14:26:10,282,121100,success,,411,322,282,89,78.3%
2025-07-06 15:09:24,2025-07-06 14:26:10,0,121100,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 15:14:58,2025-07-06 14:26:10,0,121100,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 15:26:02,2025-07-06 14:26:10,0,121100,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 15:33:01,2025-07-06 15:34:17,281,121381,success,,403,312,281,91,77.4%
2025-07-06 16:28:33,2025-07-06 15:34:17,0,121381,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 16:33:17,2025-07-06 15:34:17,0,121381,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 16:33:53,2025-07-06 15:34:17,0,121381,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 16:34:01,2025-07-06 15:34:17,0,121381,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 16:50:22,2025-07-06 16:51:18,280,121661,success,,412,319,280,93,77.4%
2025-07-06 18:39:38,2025-07-06 18:40:32,288,121949,success,,408,320,288,88,78.4%
2025-07-06 19:22:52,2025-07-06 18:40:32,0,121949,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 20:21:01,2025-07-06 20:21:55,272,122221,success,,404,317,272,87,78.5%
2025-07-06 21:21:55,2025-07-06 20:21:55,0,122221,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-06 21:22:04,2025-07-06 21:23:03,280,122501,success,,405,315,280,90,77.8%
2025-07-06 22:00:10,2025-07-06 21:23:03,0,122501,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-07 00:01:56,2025-07-07 00:02:09,-8822,113679,success,,91,80,78,11,87.9%
2025-07-07 00:58:40,2025-07-07 00:02:09,0,113679,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-07 13:00:14,2025-07-07 13:00:25,-4585,109094,success,,55,46,43,9,83.6%
2025-07-07 14:00:09,2025-07-07 13:00:25,0,109094,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-07 15:00:19,2025-07-07 15:00:33,-655,108439,success,,70,59,57,11,84.3%
2025-07-07 16:00:15,2025-07-07 15:00:33,0,108439,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-07 17:00:24,2025-07-07 17:00:39,-635,107804,success,,93,79,77,14,84.9%
2025-07-07 20:53:50,2025-07-07 20:55:47,-791,107013,success,,420,314,277,106,74.8%
2025-07-07 21:00:06,2025-07-07 20:55:47,0,107013,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-07 22:00:08,2025-07-07 22:00:23,-694,106319,success,,23,19,18,4,82.6%
2025-07-07 23:00:18,2025-07-07 22:00:23,0,106319,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-08 00:00:18,2025-07-08 00:00:29,-666,105653,success,,59,48,46,11,81.4%
2025-07-08 14:00:25,2025-07-08 14:00:50,-4895,100758,success,,104,89,89,15,85.6%
2025-07-08 15:00:17,2025-07-08 14:00:50,0,100758,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-08 16:00:08,2025-07-08 14:00:50,0,100758,success,,0,0,0,0,0.0%
2025-07-08 17:42:30,2025-07-08 17:43:35,-792,99966,success,,423,312,276,111,73.8%
2025-07-08 19:33:38,2025-07-08 19:34:35,-446,99520,success,,432,317,266,115,73.4%
2025-07-08 20:00:09,2025-07-08 19:34:35,0,99520,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-08 21:00:29,2025-07-08 21:00:44,-628,98892,success,,100,85,84,15,85.0%
2025-07-08 22:00:11,2025-07-08 21:00:44,0,98892,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-08 23:00:10,2025-07-08 23:00:16,-690,98202,success,,30,23,22,7,76.7%
2025-07-09 00:00:26,2025-07-09 00:00:40,-281,97921,success,,91,77,75,14,84.6%
2025-07-09 01:00:02,2025-07-09 00:00:40,0,97921,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-09 02:00:24,2025-07-09 02:00:38,-635,97286,success,,95,81,77,14,85.3%
2025-07-09 03:00:06,2025-07-09 02:00:38,0,97286,skipped,Too soon since last data,0,0,0,0,0.0%
2025-07-09 04:00:16,2025-07-09 04:00:25,-663,96623,success,,61,50,49,11,82.0%
